,index,Stilling id,Stillingsbeskrivelse vasket,Registrert dato,Arbeidssted fylke,Arbeidssted land,Yrke grovgruppe
10,3832,9611922,". Glitter er markedsledende innen motesmykker og tilbehør i Norden. Totalt finnes det ca 223 butikker i Sverige, Norge, Finland og Danmark. Glitter tilbyr kvinner i alle aldre et bredt spekter av rimelige motesmykker og tilbehør, kombinert med personlig service. Vi er spesialister på styling, og har forslag på hvordan man med små forandringer kan forbedre sin personlige stil. Glitter er et datterselskap av handelshuset Bergendahl og Son, eid av familien. i tredje og fjerde generasjon. består av. (med, blant annet Citygross, EKO), Granit samt. (inkludert Glitter og. ). . . Fokusert salg og utmerket service gir gode resultater. Dette er Glitters oppskrift på suksess. har du varierte arbeidsoppgaver og mye egenansvar. Kunder og kolleger er positive, og du får jobbe med det beste som finnes salg, trender og mote. Din erfaring med kundeservice og salg har gitt deg trening i å jobbe effektivt og selvstendig mot oppsatte mål. Du ser utfordringer i stedet for problemer. Mote er din lidenskap, og du har en engasjert og ansvarsfull personlighet. Du er trygg på deg selv og vil satse på egen utvikling. Med andre ord er du en Glitter. person med stor G. Vi har utfordringer, målene er høye og selskapets karrieremuligheter er åpne for deg. Vi støtter deg på veien mot vår felles framgang. . . Stillingen er på ca 18,75  timer pr. uke (50. ), med mulighet for større stilling i perioder.  Det må påregnes vakter på dagtid, kveldstid og helg. Personen som står i denne stillingen vil være butikkleders høyre hånd, og kan derfor påregne noe utvidet ansvar. Det er ønskelig med erfaring fra tilsvarende butikkarbeid. Kun søkere over 18 år vil bli vurdert for stillingen. Om dette høres ut som noe for deg, ber vi om at du sender inn søknad og CV via linken tilknyttet denne stillingsannonsen. . . Søknadsfrist: Snarest. Vi behandler søknader fortløpende, så søk så snart du har mulighet. . Tiltredelse: Snarest. Dersom du har spørsmål om stillingen kan.  kontaktes på telefon. . a href. 'https: candidate. hr. manager. net ApplicationInit. aspx. cid. 183ogProjectId. 194764ogDepartmentId. 4405ogMediaId. 1124ogSkipAdvertisement. ",2017-07-25,Nordland,Norge,Butikk- og salgsarbeid
11,3883,9631784,"Til nye lokaler i Hundholmen jakhellngården søker vi en selger til å markedsføre våre produkter og tjenester til næringslivet i Norge. Business søkemotoren, Purehelp. no, er i dag over 14 år gammel og var et pionerprodukt i internettets første fase. Tjenesten er et vinnerprodukt i sitt markedssegment med stabile kunder, spennende partneravtaler og høy trafikk som dokumenteres av TNS Gallup. Alle som prøver vår søkemotor for første gang opplever svært høy nytte. og brukerverdi. Våre produkter er populære og lettsolgte, så du trenger ikke å ha hatt lang fartstid innen salgsyrket. Selgerstillingen passer således godt for alle som er åpne for både å lære salg og søkemotor markedsføring. Vi har veldig god erfaring med ansatte som tidligere har jobbet innenfor mange forskjellige yrkesgrupper, og gir god opplæring som er skreddersydd for produktet og stillingen. Alle kan lære salg. Vi ønsker at du. Har den riktige innstillingen. Er positiv, blid og omgjengelig. Har god muntlig fremstillingsevne. Har erfaring med internett. Krav til kompetanse. Norsk språk. Vi kan tilby. Salg til både nye og eksisterende kunder. Opplæring, veiledning og oppfølging innen salgsyrket. Mulighet for både å jobbe i team og individuelt. Meget gode lønnsbetingelser (fastlønn. provisjon). 5 ukers ferie. Mulighet til å selge et produkt som alle i et proaktivt næringsliv burde ha tilgang til. Alder eller tidligere jobberfaring innen andre fagområder er ingen hindring. Vi kan også tilby tilrettelagt arbeidsforhold arbeidstid for særskilte behov. Kontakt oss for en samtale i dag så kan vi diskutere mulighetene sammen. Send søknad . ",2017-09-07,Nordland,Norge,Butikk- og salgsarbeid
12,4103,9553157,"Er du en ener på salg og kundeoppfølging. Til stillingen som proffselger bygg søker vi deg som ønsker en utfordrende. stilling i salg. Du er offensiv og operativ i markedsarbeidet. Du vil ha ansvar for. salg av hele vårt brede produktsortiment, i et miljø som legger stor vekt på aktivt. markedsarbeid for å ivareta eksisterende kunder og utvikle kundeporteføljen. Dine hovedoppgaver.  Salg og oppfølging av våre proffkunder, både på byggeplass og fra kontor. Rekruttering av nye kunder. Prising og tilbudsgiving av prosjekter. Ansvarlig for å markedsføre våre konsepter ovenfor markedet. Er du flink til å skape gode kundeopplæevelser. og Lager. Til stillingene som kunderådgiver butikk og lager søker vi deg som er dyktig. med mennesker, er serviceinnstilt og resultatorientert. Du har stor interesse for salg. som fag og har gjerne kunnskap om byggevarer og hvordan de skal brukes. Dine hovedoppgaver.  Salg og kundeekspedering fra butikk og lager. Innkjøp, varemottak og vareplassering. Øvrige driftsoppgaver i henhold til kjedekonseptet. Stillingene inngår i avdelingens turnusplan. Den viktigste oppgaven for begge stillinger er å gi kundene våre den. servicen og oppfølgingen de forventer og fortjener. I tillegg ønsker vi.  Erfaring og kunnskap om salg og markedsarbeid. God muntlig og skriftlig fremføringsevne. Beherske IT som arbeidsverktøy. Sertifikat klasse B. Vi tilbyr konkurransedyktige betingelser og utfordrende arbeidsoppgaver. i en av landets ledende byggevarekjeder. Du vil få muligheten til videre. utvikling innen salg av byggevarer i et stort og ambisiøst konsern. Du vil. jobbe med dyktige medarbeidere i et trivelig arbeidsmiljø. Begge stillingene rapporterer til daglig leder. For nærmere informasjon. om stillingene, ta kontakt med. på tlf. Søknad med CV sendes innen 7. april 2017. ",2017-03-28,Nordland,Norge,Butikk- og salgsarbeid
13,4223,9563908,"Får du kick av fysisk arbeid og høyt tempo. Ta med deg din energi og din sult etter å lykkes, for teamet vårt på Sortland trenger en ny kollega. Vi er nå på utkikk etter en med glimt i øyet, som vil jobbe deltid i en midlertidig 80. stilling. Dette vikariatet vil hovedsakelig vare fra 22. 05. 2017 til 30. 06. 2018. Vi er også på jakt etter en ivrig butikkselger som har lyst til å jobbe deltid i 50. stilling. Spesifiser gjerne hvilken stilling du søker på. Søknadsfrist: 30. 04. 2017 Tiltredelse: 22. 05. 2017. Hos oss får du ordnede forhold, det er hektisk og sosialt. Vi kan love deg at ingen dag er lik den andre. Butikkene våre er store og du går mange skritt i løpet av dagen. Vi skifter kampanjer ukentlig og da må du være god til å prioritere smart. Vi gir alltid kundene våre et smil og sørger for at de går ut med en god opplevelse. Vi leter etter DEG som har den rette holdningen, du som har gnist og iver etter å bidra til at teamet du blir en del av presterer maksimalt. Du har den rette serviceholdningen og vet godt hvordan du løser store og små utfordringer på strak arm. Det er ønskelig at du er over 18 år, og innehar sertifikatet da vi ligger 3 km utenfor sentrum. Vil du også være Europris og gi kundene våre ""mer til overs"". KAN og VIL DU. er dette garantert jobben du har lett etter. Søk da vel. Spørsmål om stillingen. , butikksjef. Søknadsfrist: 30. 04. 2017. [Søk]",2017-04-20,Nordland,Norge,Butikk- og salgsarbeid
14,4294,9669325,". og Selection er en av Nordens ledende rekrutteringsaktører med 40 kontorer. Vi tilbyr bistand med rekruttering av ledere, fagspesialiseter og medarbeidere. Våre dyktige rådgivere har solid erfaring og lokal forankring. Vi bistår med rekrutteringsoppdrag innen alle bransjer, både i privat og offentlig sektor. Vår visjon er å være avgjørende for våre kunders suksess. og Selection er endel av. Albert E. Olsen AS. Albert E Olsen (AEO) er et landsdekkende industrivarehus. Vi leverer drift og vedlikeholdsprodukter til profesjonelle kunder i privat og offentlig sektor, og er ledende leverandør av kjente merkevarer og kvalitetsprodukter. AEO med hovedkontor i Trondheim, er blant landets eldste innen bransjen. Selskapet ble stiftet i 1902. I dag dekker virksomheten det meste av landet, fra Oslo i sør til Kirkenes i Nord. AEO er et 100 prosent familieeid selskap. Konsernet omsetter for omlag 500 millioner kroner, og har totalt 175 medarbeidere knyttet til virksomhetene. Vårt marked rettes hovedsakelig mot kunder innenfor landbasert industri, offshore, Byggmestere og entreprenører. Vi søker etter deg som har lyst til å bli god på salg av verneprodukter. Arbeidsoppgaver. Aktivt salg av selskapets produkter. Personlig kundebehandling. Arbeidstid. Butikkens åpningstider er mellom 07. 00. 16. 00 5 dager i uka. Ønskede kvalifikasjoner. Erfaring fra industri. bygg og anleggs. bransjen. God kjennskap til produktene fra annen stilling. Personlige egenskaper. Arbeider strukturert. Er løsningsorientert. Selvstendig, men samtidig arbeide godt i team. Har førerkort for bil. Vi tilbyr. En grundig opplæring i produktporteføljen gjennom AEO. s egne opplæringsprogrammer. Konkurransedyktig lønn. Innskuddsbasert pensjonsordning. Varierte og utfordrende arbeidsoppgaver i et spennende og faglig godt og landsdekkende handelsmiljø. Moderne, elektroniske planleggingsverktøy. Stillingen rapporterer til butikkleder. Ytterligere informasjon om stillingen kan rettes til.  på tlf: 751 27440 eller. på telefon 915 36512. Søknad og CV merkes "". "" bes sendes snarest til Personalhuset v Svein G. Bergvin mail.  mob. 400 11425. Søknadsfrist: 26. 11. 2017 Se våre nettsider www. aeo. no, for mer informasjon. ",2017-11-13,Nordland,Norge,Butikk- og salgsarbeid
15,4412,9653506,"Kvalifikasjoner: Være i stand til å yte god service, vise initiativ og sette kunden i fokus. Være positiv og utadvendt. Gjerne ha litt kunnskap om, og erfaring med byggevarer. Gode norskkunnskaper. Vi kan bidra med et positivt miljø hvor vi hjelper hverandre, og tar i et tak når det trengs. Hvis du tror dette kan være noe for deg så send gjerne inn en søknad. Kvinner oppfordres til å søke",2017-10-17,Nordland,Norge,Butikk- og salgsarbeid
16,4530,9645116,". For å svare på markedets etterspørsel, trenger vår kunde flere bedriftsselgere til deres bedriftssatsning på Helgeland. i Rana. For godt etablert og markedsledende bedrift i sterk vekst søker vi fremoverlent og proaktiv selger. Bedriften har nærmere 70 ansatte og et salgsteam på 7 selgere. Videre har de sterkt fokus på god etikk og profesjonell framtoning. Du drives av salgsresultater, trigges av utfordringer, trives med aktivt salg, aktiv markedsføring og markedsansvar. Mye av dagen går i kundebesøk og oppsøkende aktivitet i SMB markedet. salget foregår for det meste ute hos kundene. Arbeidsoppgaver. Systematisk markedsføring og salg nåværende og nye kunder Bygge profesjonelt nettverk og kundeportefølje Gjennomføre presentasjoner av produkter løsninger hos kunder Holde foredrag og delta aktivt i næringsforeninger Utarbeide og skreddersy tilbud, delta aktivt i forhandlinger og kontraktsutarbeidelser Logging og enkel rapportering. Ønskede kvalifikasjoner. Har drevet med markedsføring og salg mot bedriftssegment Kan vise til gode oppnådde salgsresultater Meget god på kommunikasjon. muntlig og skriftlig Evner å jobbe strukturert og oppdatert på hva som skjer i ditt markedsområde. Personlige egenskaper. Drives av salg. trives med oppsøkende salg Proaktiv, profesjonell og engasjert Aktiv bidragsyter til et godt og positivt arbeidsmiljø Tillitsvekkende framtoning. du selger på tillit. Har konkurranseinstinkt og er målrettet Tør å ta ansvar og være aktiv medspiller internt og eksternt. Vi tilbyr. Konkurransedyktige lønnsbetingelser er en selvfølge Spennende arbeidsplass med mange muligheter Meget godt miljø med dyktige, kompetente og entusiastiske kolleger God produktopplæring og innføring i bedriftens tjenester Faglig støtte og veiledning og gode faglige utviklingsmuligheter Seriøs arbeidsgiver i sterk vekst Ordnede arbeidsforhold Stort ansvar og frihet til å påvirke utviklingen fremover Interne fagsamlinger og KickOff. Send CV og kortfattet søknad til Lin hos Back. vi gjennomgår søknader fortløpende. Tiltredelse er ønsket august eventuelt september. Alle henvendeler behandles konfidensielt inntil annet er avtalt med deg. Vi ser fram til å høre fra deg. ",2017-10-03,Nordland,Norge,Butikk- og salgsarbeid
17,5123,9631940,". JOBB MED DET DU ELSKER. Vi åpner ny Intersport på Amfi i Svolvær. Verdens største sportskjede, INTERSPORT, søker en dyktig medarbeider med vinnerinstinkt og hjerte for sport. Som selger i INTERSPORT skal du sørge for at våre kunder får bransjens beste service. Du er en lagspiller som elsker sport og salg, og motiveres av å skape gode resultater. Hva skal du kunne noe om. Salg. Du sørger for at kundene våre får en god handleopplevelse, og svært god faglig veiledning. Din avdeling ser til enhver tid ryddig og innbydende ut. Gjennomføring av kampanjer og salgstiltak, du blir aktiv bruker av vårt web. baserte kampanjeverktøy. Du har glødende interesse for sport, og ønsker å lære mest mulig om produktenes tekniske egenskaper. Du er pådriver i salg og kampanjegjennomføring. Sport. Enten gjennom egen aktivitet, eller fra butikk leverandør. Du er eller har vært aktiv på et høyt nivå. Miljø og målsetninger. Skape godt arbeidsmiljø ved å være en god kollega og positiv bidragsyter. i INTERSPORT skal du aktivt delta for å nå butikkens og avdelingens målsetning. Hva skal du utføre. Hver dag sørger du for at våre kunder får en optimal handleopplevelse i bransjens mest strøkne butikk. Dette oppnår du gjennom god produktkunnskap, positiv innstilling samt at du er ryddig og løsningsorientert. Du elsker å ta kontakt med kundene og guide de til rett utstyr slik at de får en optimal trenings eller turopplevelse. . Hvilke personlige egenskaper er viktige i denne stillingen. Elsker sport og salg. Du «blør for drakta» sammen med resten av teamet. Liker å jobbe mot tøffe mål. Glad og fremoverlent, du er liker å møte nye mennesker. Effektiv og korrekt. Kremmerånd, du liker å tjene penger. Du ønsker å skape gode resultater. Proaktiv med masse energi. Strukturert og ryddig. Høy arbeidskapasitet. Åpen og Ærlig. Arbeidserfaring og utdannelse. Du har jobbet i butikk tidligere, gjerne innen sport. Vi tilbyr. Godt arbeidsmiljø med utpreget vinnerkultur. Utfordrende og varierte arbeidsoppgaver. Gode utviklingsmuligheter hos INTERSPORT, som er verdens største sportskjede. Svært gode kurs gjennom. Trygg arbeidsplass i et stort og spennende konsern. Konkurransedyktige betingelser. Søk på stillingen. ",2017-09-07,Nordland,Norge,Butikk- og salgsarbeid
18,5342,9530153,"KIWI Lykkentreff søker etter tilkalingsvakt. Må kunne jobbe dagtid. Arbeidsoppgaver.  Hovedsakelig kassererarbeid. Kundebehandling. Varehåndtering. Forefallende butikkarbeid. Personlige egenskaper.  Må være fylt 18 år. Punktlig. Utadvendt og ærlig. Serviceinnstilt. Ryddig. Godt humør. Kvalifikasjoner.  Erfaring fra dagligvare er ønskelig, men ingen betingelse. Vi kan tilby.  Opplæring. Karrieremuligheter. Sosialt og trivelig arbeidsplass blant hyggelige kolleger. NB. Vi gjør oppmerksom på at alle søknader må sendes inn via søknadskjema tilknyttet annonsen, samt at det meste av kommunikasjonen vedrørende stillingen vil skje per e. post. Søknadsfrist: Snarest. Lenke til fullstendig utlysningstekst og elektronisk søknadsskjema.  Send søknad. ",2017-02-16,Nordland,Norge,Butikk- og salgsarbeid
19,5498,9544526,"Kantinemedarbeider. Sandnessjøen videregående skole. Søknadsfrist 2. april 2017. Novikveien 47, 8800 Sandnessjøen. , Rektor,. . , Assisterende rektor,. . Annonsør: Nordland fylkeskommune. Ref. nr. .  Stillingsbrøk: 50. Heltid, Fast. Startdato: 01. 08. 2017. Antall stillinger: 1. For elektronisk søknadsskjema.  ",2017-03-14,Nordland,Norge,Butikk- og salgsarbeid
20,5574,9644862,"Jobbnorge ID: 142985. I forbindelse med omprofilering til. , har vi behov for flere medarbeidere.  Midlertidige deltidsstillinger med mulighet for fast arbeid. Mulighet for deltidsstilling i helger som kan passe godt for skoleelever studenter som er i Beiarn i helgene. Mulighet for ekstravakter ved sykefravær ferieavvikling ved alle butikker i. og Misvær SA. Det vi ser etter er.  Engasjerte og positive selgere som yter den beste kundeservicen. Du er ryddig og strukturert, og vet hvordan du presenterer en innbydende butikk. Kjennskap og interesse til varehandel vil være en fordel, men ingen forutsetning. Du er ærlig, pliktoppfyllende og ansvarsfull. Du er over 18 år og behersker norsk godt. Har du spørsmål til stillingene kan du kontakte butikksjef. på tlf. , eller e. post Se annonsen og søk på stillingen www. jobbnorge. no",2017-10-02,Nordland,Norge,Butikk- og salgsarbeid
