Stilling id,Registrert dato,Yrke grovgruppe,Setning,Kategori,,Notater
6476461,2013-09-10,Akademiske yrker,NAV er IA,0,,
6476461,2013-09-10,Akademiske yrker,virksomhet og vi vil legge forholdene til rette for søkere med redusert funksjonsevne,0,,
6476461,2013-09-10,Akademiske yrker,Spørsmål om stillingen kan rettes til NAV,0,,
6476461,2013-09-10,Akademiske yrker,telefon,0,,
6476461,2013-09-10,Akademiske yrker,Søknad og CV sendes via lenken nedenfor,0,,
6476461,2013-09-10,Akademiske yrker,Vi gjør oppmerksom på at CV benyttes i utvidet søkerliste,0,,
6476461,2013-09-10,Akademiske yrker,Vitnemål og attester tas med på et eventuelt intervju,0,,
6476461,2013-09-10,Akademiske yrker,Dersom du ønsker å reservere deg fra oppføring på offentlig søkerliste må dette opplyses om og begrunnes i søknaden,0,,
6476461,2013-09-10,Akademiske yrker,Opplysninger kan bli offentliggjort selv om du har bedt om ikke å bli oppført på søkerlisten,0,,
6476461,2013-09-10,Akademiske yrker,Du varsles dersom ønsket om reservasjon ikke tas til følge,0,,
5340225,2013-04-04,Kontorarbeid,er en del av et moderne multisenter med blant annet butikker og spisesteder kinosaler bowling og bibliotek,0,,
5340225,2013-04-04,Kontorarbeid,Hotellet inngår i kjedens Conference konsept,0,,
5340225,2013-04-04,Kontorarbeid,Vi søker en positiv og engasjert medarbeider,2,,
5340225,2013-04-04,Kontorarbeid,Daglig innsalg av Kurs og konferanser grupper og rom frokost,0,,
5340225,2013-04-04,Kontorarbeid,Tett samarbeid med booking ansvarlig,0,,
5340225,2013-04-04,Kontorarbeid,Dagtid stiling,0,,
5340225,2013-04-04,Kontorarbeid,Positiv og omgjengelig,2,,
5340225,2013-04-04,Kontorarbeid,Erfaring med bruk av Hotellsystem gjerne Opera,3,,
5340225,2013-04-04,Kontorarbeid,Løsningsorientert og fleksibel,2,,
5340225,2013-04-04,Kontorarbeid,Har relevant erfaring fra resepsjon booking,3,,
5340225,2013-04-04,Kontorarbeid,Takle stress i et hektisk arbeidsmiljø,2,,
5340225,2013-04-04,Kontorarbeid,Har en utpreget det skulle bare mangle holdning,2,,
5340225,2013-04-04,Kontorarbeid,og Engelsk kunnskaper er en forutsetning,3,,
5340225,2013-04-04,Kontorarbeid,Kan idetifisere seg med våre verdier Lokal Uhøytidelig Profesjonell og Engasjert,2,,
5340225,2013-04-04,Kontorarbeid,Et nettverk av dyktige og hyggelige kollegaer,0,,
5340225,2013-04-04,Kontorarbeid,Muligheter for kurs,0,,
5340225,2013-04-04,Kontorarbeid,En stilling i en av Norges ledende hotellkjeder med gode karrieremuligheter både nasjonalt og internasjonalt,0,,
5340225,2013-04-04,Kontorarbeid,Link til søknadsskjema Send søknad For mer informasjon kontakt Marina S Nordås,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",Planleggjing av eit heilskapeleg og fagleg omsorgstilbud for brukarar,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",Fagleg rettleiing og opplæring av andre tilsette,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",Direkte arbeid mot brukarar samarbeid med andre tilsette i bufellesskapet pårørande og andre instanser,1,,
5939751,2013-06-26,"Helse, pleie og omsorg",Vi søkjer ein person som,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",Har gode samarbeidsevner,2,,
5939751,2013-06-26,"Helse, pleie og omsorg",Er bevisst sine haldningar og prioriterer høgt verdier som respekt lojalitet og etikk,2,,
5939751,2013-06-26,"Helse, pleie og omsorg",Arbeid i turnus kvar helg,1,,
5939751,2013-06-26,"Helse, pleie og omsorg",Menn vert oppfordra til å søkje,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",Personlege eigenskapar vil bli vektlagt,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",Gyldig politiattest må framleggjast ved evt,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",Autorisasjon som vernepleiar,3,,
5939751,2013-06-26,"Helse, pleie og omsorg",Sertifikat kl B Gode norsk skriftleg og munnleg framstillingsevne,2,,
5939751,2013-06-26,"Helse, pleie og omsorg",Andre med relevant helse,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",og eller sosialfagleg eller pedagogisk høgskuleutdanning kan bli vurdert,3,,
5939751,2013-06-26,"Helse, pleie og omsorg",For meir opplysningar om stillinga ta kontakt med leiar,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",Austevoll kommune kan tilby,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",Interessante arbeidsoppgåver i positivt miljø,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",Lenke til stilling,0,,
5939751,2013-06-26,"Helse, pleie og omsorg",no Selvbetjening Skjema,0,,
4721156,2013-02-06,Reiseliv og transport,Haugesund kommune trenger ferievikarer for mange yrkesgrupper,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",St nr,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",Hjelpepleier Helsefagarbeider fast stilling ved Namsos bo,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",Stillingen er f t lagt til helsedistrikt Sør avd,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",og servicesenter og innebærer jobb i hjemmesykepleien ved Namsos bo,1,,
5345733,2013-04-05,"Helse, pleie og omsorg",og servicesenter avdeling og ute i tilhørende distrikt,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",Stillingen inngår i turnus med helgejobbing samt kveldsvakter noen ukedager,2,,
5345733,2013-04-05,"Helse, pleie og omsorg",Stillingen innebærer at medikamenter skal håndteres forsvarlig i tjenesten og det kreves derfor bestått elektronisk medikament test ved distriktet,3,,
5345733,2013-04-05,"Helse, pleie og omsorg",Ansvar for det faglige tilbudet til bruker,1,,
5345733,2013-04-05,"Helse, pleie og omsorg",Delta i direkte tjenesteyting overfor brukere og bidra til at målsettinger innenfor tjenesten oppnås,1,,
5345733,2013-04-05,"Helse, pleie og omsorg",Vi søker en person som,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",Er offentlig godkjent hjelpepleier helsefagarbeider,3,,
5345733,2013-04-05,"Helse, pleie og omsorg",Har gyldig førerkort for bil,3,,
5345733,2013-04-05,"Helse, pleie og omsorg",Er fleksibel i forhold til arbeidssted og arbeidsoppgaver,2,,
5345733,2013-04-05,"Helse, pleie og omsorg",Deltar i arbeidsplassens endringsprosesser i takt med samfunnsendringer og krav,1,,
5345733,2013-04-05,"Helse, pleie og omsorg",Er god på kommunikasjon og samarbeid,2,,
5345733,2013-04-05,"Helse, pleie og omsorg",Er løsningsorientert og positiv,2,,
5345733,2013-04-05,"Helse, pleie og omsorg",Er selvstendig og tar initiativ og ansvar,2,,
5345733,2013-04-05,"Helse, pleie og omsorg",Representerer lojalitet stabilitet forutsigbarhet og kontinuitet,2,,
5345733,2013-04-05,"Helse, pleie og omsorg",Viser interesse og engasjement,2,,
5345733,2013-04-05,"Helse, pleie og omsorg",Har relevant praksis,3,,
5345733,2013-04-05,"Helse, pleie og omsorg",Har kunnskap om er komfortabel med bruk av data,2,,
5345733,2013-04-05,"Helse, pleie og omsorg",Har evne til å ta ansvar for å kvalitetssikre tjenesten i tråd med gjeldende lover og regelverk,1,,
5345733,2013-04-05,"Helse, pleie og omsorg",Søkere må påregne å bli innkalt til intervju og personlige egenskaper vil bli vektlagt ved utvelgelsen,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",Vi ber om at referanser oppgis,3,,
5345733,2013-04-05,"Helse, pleie og omsorg",eller vernepleierstudenter med bestått medikament test fra HiNT oppfordres også til å søke på stillingen,3,,
5345733,2013-04-05,"Helse, pleie og omsorg",St kode,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",Årslønn etter tariff,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",Nærmere opplysninger om stillingen fås ved henvendelse til avdelingsleder,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",Stillingen er ikke lyst ledig internt i kommunen,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",Det tas derfor forbehold om fortrinnsrett for interne søkere jfr arbeidsmiljøloven,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",hovedtariffavtalen kap,0,,
5345733,2013-04-05,"Helse, pleie og omsorg",Nærmere opplysninger om stillingen fås ved henvendelse til avdelingsleder,0,,
7041450,2013-11-29,Kontorarbeid,Vi søker en regnskapsfører som skal arbeide med våre to butikker på Harebakken,1,,
7041450,2013-11-29,Kontorarbeid,Henholdsvis MIX og Life,0,,
7041450,2013-11-29,Kontorarbeid,Dette er to forholdsvis små og enkle regnskap,0,,
7041450,2013-11-29,Kontorarbeid,Arbeidet vil bestå i periodevis føring av regnskap lønn og årsoppgjør og øvrige rapporter,1,,
7041450,2013-11-29,Kontorarbeid,Evt i samarbeid med revisor,1,,
7041450,2013-11-29,Kontorarbeid,Du kan arbeide selvstendig enten ut fra butikk eller hjemmekontor,1,,
7041450,2013-11-29,Kontorarbeid,Dersom du er interessert i butikkarbeide vil det være en fordel mht stillingsbrøken,0,,
7041450,2013-11-29,Kontorarbeid,Lønn og øvrige betingelser etter avtale,0,,
7041450,2013-11-29,Kontorarbeid,Send gjerne søknad på mail til,0,,
4561076,2013-01-23,Bygg og anlegg,Vi har behov for å knytte til oss i første rekke skadesanerere men også reholdere for tilkalling ved behov,1,,
4561076,2013-01-23,Bygg og anlegg,Til tider ganske stort behov for ekstra bemanning særlig for skadesanerere,0,,
4561076,2013-01-23,Bygg og anlegg,Bra med bakgrunn som snekker men ikke påkrevet,0,,
4561076,2013-01-23,Bygg og anlegg,Opplæring blir gitt og vi holder verktøy og arbeidsklær,0,,
4561076,2013-01-23,Bygg og anlegg,Arbeidstiden er i hovedsak dagtid men noe overtid kan forekomme i forbindelse med ferdigstilling av arbeide,0,,
4561076,2013-01-23,Bygg og anlegg,Litt reisevirksomhet kan også forkomme fra tid til annen,1,,
4561076,2013-01-23,Bygg og anlegg,For rett person kan det utvikle seg til fast jobb dersom markedssituasjonen tilsier behov for det,0,,
4500561,2013-01-18,Serviceyrker og annet arbeid,Du hjelper kunden gjennom en grundig behovskartlegging skreddersy motiverende og individuelle kostholds,1,,
4500561,2013-01-18,Serviceyrker og annet arbeid,og treningsplaner som får kunden til å nå målet sitt,1,,
4500561,2013-01-18,Serviceyrker og annet arbeid,Markedsføring av egne tjenester og tar selv ta ansvar for opparbeidelse av egen kundeportefølje,1,,
4500561,2013-01-18,Serviceyrker og annet arbeid,Du er en positiv inspirator pådriver og bidragsyter på senteret og således hjelpe teamet til å utvikle seg videre,2,,
4500561,2013-01-18,Serviceyrker og annet arbeid,I tillegg til at du har en solid faglig kompetanse fremstår du som en profesjonell selvsikker og ydmyk trener og du er,2,,
4500561,2013-01-18,Serviceyrker og annet arbeid,selvstendig og har evne til å ta egne initiativ,2,,
4500561,2013-01-18,Serviceyrker og annet arbeid,utadvendt og omgjengelig med et glimt i øyet,2,,
4500561,2013-01-18,Serviceyrker og annet arbeid,omstillingsdyktig når nødvendig,2,,
4500561,2013-01-18,Serviceyrker og annet arbeid,Jobbe i ELIXIA,0,,
4500561,2013-01-18,Serviceyrker og annet arbeid,Som medarbeider i ELIXIA uansett om du jobber med trening service renhold barnepass eller salg så er du med på å gjøre en samfunnsmessig viktig jobb,0,,
4500561,2013-01-18,Serviceyrker og annet arbeid,DU er med på å hjelpe enkeltmennesker til et bedre liv til å realisere et mål eller kanskje til å gjennomføre en drøm,1,,
4500561,2013-01-18,Serviceyrker og annet arbeid,Det er dette som gjør at vi i ELIXIA trolig har en hyggeligere og mer meningsfylt arbeidsdag enn mange andre,0,,
4500561,2013-01-18,Serviceyrker og annet arbeid,ledende treningskjede innenfor PT spesielt legger vi stor vekt på faglig oppdatering og videreutvikling av våre trenere,0,,
4500561,2013-01-18,Serviceyrker og annet arbeid,Du kan derfor se fram til både læringsrike og innovative kurs og WS der du tilegner deg kunnskap som resulterer i enda bedre PT,0,,
4500561,2013-01-18,Serviceyrker og annet arbeid,timer og økt lojalitet fra kundene,0,,
4500561,2013-01-18,Serviceyrker og annet arbeid,For elektronisk søknadsskjema,0,,
6671246,2013-10-08,Butikk- og salgsarbeid,har i dag ansvaret for to butikker i Hordaland men skal fra nyttår konsentrere seg om en butikk,0,,
6671246,2013-10-08,Butikk- og salgsarbeid,I den anledning søker NILLE på,0,,
6671246,2013-10-08,Butikk- og salgsarbeid,en utadvendt resultatorientert og selvgående butikksjef med sterk kremmerinstinkt,2,,
6671246,2013-10-08,Butikk- og salgsarbeid,Hvis du i tillegg er god på planlegging er strukturert og ønsker å utfordre butikkens medarbeidere til å bli et velsmurt salgsteam,2,,
6671246,2013-10-08,Butikk- og salgsarbeid,kan DU være den vi søker,0,,
6671246,2013-10-08,Butikk- og salgsarbeid,Butikksjefens ansvarsområder er bl,0,,
6671246,2013-10-08,Butikk- og salgsarbeid,a Totalansvar for butikkens drift utvikling og resultater,1,,
6671246,2013-10-08,Butikk- og salgsarbeid,Godt utviklet kremmerånd,2,,
6671246,2013-10-08,Butikk- og salgsarbeid,Vi kan tilby deg,0,,
6671246,2013-10-08,Butikk- og salgsarbeid,En selvstendig jobb i en bedrift i sterk vekst og med et spennende varesortiment,0,,
6671246,2013-10-08,Butikk- og salgsarbeid,Ytterligere spørsmål om stillingen kan rettes til distriktssjef,0,,
5600161,2013-05-10,Butikk- og salgsarbeid,Racingspesialist langrenn nordisk,0,,
5600161,2013-05-10,Butikk- og salgsarbeid,søker deg som har lidenskap for vinter og ski spesielt racing langrenn,0,,
5600161,2013-05-10,Butikk- og salgsarbeid,Vi er en sportsbutikk som satser på de aktive utøverne innenfor løp sykkel langrenn og klubb,0,,
5600161,2013-05-10,Butikk- og salgsarbeid,tlf mob epost,0,,
5600161,2013-05-10,Butikk- og salgsarbeid,For elektronisk søknadsskjema,0,,
6366388,2013-08-26,Barne- og ungdomsarbeid,vikariat fra,0,,
6366388,2013-08-26,Barne- og ungdomsarbeid,Se utfyllende annonsetekst og søk via elektronisk skjema som finnes på www,0,,
6366388,2013-08-26,Barne- og ungdomsarbeid,Malvik kommune ønsker en balansert alders,2,,
6366388,2013-08-26,Barne- og ungdomsarbeid,Attester og vitnemål tas med ved innkalling til intervju dersom ikke annet framgår av annonsen,0,,
5152388,2013-03-15,Undervisning,I kommunen vil følgende stillinger for pedagogisk personell bli ledige fra,0,,
5152388,2013-03-15,Undervisning,ungdomsskole kan det bli ledige stillinger fra høsten,0,,
5152388,2013-03-15,Undervisning,Skolen er organisert i tre team med ansvar for hvert sitt alderstrinn og det er ønskelig at lærerne på teamet dekker de fleste fag på ungdomstrinnet,0,,
5152388,2013-03-15,Undervisning,Det er derfor ønskelig med lærere med undervisningskompetanse i flere fag,3,,
5152388,2013-03-15,Undervisning,I tillegg til språkfagene norsk engelsk og tysk spansk ønsker vi søkere med kompetanse i kunst og håndverk,3,,
5152388,2013-03-15,Undervisning,eller e post,0,,
5152388,2013-03-15,Undervisning,For alle stillingene legges det vekt på,0,,
5152388,2013-03-15,Undervisning,Godkjent faglig og pedagogisk kompetanse,3,,
5152388,2013-03-15,Undervisning,et inkluderende lærings,0,,
5152388,2013-03-15,Undervisning,erfaring fra lignende arbeid,0,,
5152388,2013-03-15,Undervisning,Intervju vil bli gjennomført,0,,
5152388,2013-03-15,Undervisning,Politiattest ikke eldre enn mnd må framlegges før tiltredelse,3,,
5152388,2013-03-15,Undervisning,Vi ber om at søkerne prioriterer tjenestested ved søknad på flere steder,0,,
5152388,2013-03-15,Undervisning,Søkere vil også bli vurdert til andre stillinger både faste og vikariater som måtte bli ledige under tilsettingsprosessen,0,,
5152388,2013-03-15,Undervisning,Tilsettinger skjer på de vilkår som går fram av lover reglement og tariffavtaler herunder risikodekning i pensjonsordning hvor arbeidstaker og arbeidsgiver betaler innskudd,0,,
5152388,2013-03-15,Undervisning,Alvdal kommune har måneders prøvetid på sine stillinger,0,,
5152388,2013-03-15,Undervisning,CV vil bli brukt i utvidet søkerliste,0,,
5152388,2013-03-15,Undervisning,I henhold til Offentleglova ledd kan søkerlister offentliggjøres,0,,
5152388,2013-03-15,Undervisning,Søknad med rettkjente kopier av vitnemål og attester sendes Alvdal kommune Servicekontoret Alvdal innen april,0,,
4971587,2013-02-27,Akademiske yrker,Medarbeider i tillitsvalgtopplæringen,0,,
4971587,2013-02-27,Akademiske yrker,Utdanningsforbundets tillitsvalgtopplæring har ansvaret for at Utdanningsforbundets mer enn tillitsvalgte på alle nivåer i organisasjonen er godt skolert i arbeidet for å ivareta medlemmenes lønns,0,,
4971587,2013-02-27,Akademiske yrker,I det sentrale sekretariatet er ansvaret lagt til avdeling for organisasjonsutvikling og medlemstjenester,1,,
4971587,2013-02-27,Akademiske yrker,seksjon for opplæring kurs og konferanser,0,,
4971587,2013-02-27,Akademiske yrker,Vi søker etter en profesjonell selvstendig og utadvent person med gode kunnskaper om organisasjonsarbeid som kan styrke Utdanningsforbundet som kursarrangør innenfor den sentrale kursvirksomheten og tillitsvalgtopplæringen,2,,
4971587,2013-02-27,Akademiske yrker,Hausmanns gate,0,,
4971587,2013-02-27,Akademiske yrker,Reiseaktivitet Noe reisevirksomhet må påregnes,0,,
4971587,2013-02-27,Akademiske yrker,Antall stillinger,0,,
4971587,2013-02-27,Akademiske yrker,For fullstendig utlysningstekst og elektronisk søknadsskjema,0,,
4325768,2013-01-03,Serviceyrker og annet arbeid,Vi trenger flinke folk og søker etter,0,,
4325768,2013-01-03,Serviceyrker og annet arbeid,FESTIVALSJEF DAGLIG LEDER,0,,
4325768,2013-01-03,Serviceyrker og annet arbeid,Da vår daglige leder skal ut i permisjon er vi på jakt etter en erstatter i stilling fra ca april,0,,
4325768,2013-01-03,Serviceyrker og annet arbeid,Varighet ca ett år med mulighet for forlengelse,0,,
4325768,2013-01-03,Serviceyrker og annet arbeid,Som rockefestivalens daglige leder vil du få overordnet ansvar for utvikling organisering og gjennomføring av festivalen,1,,
4325768,2013-01-03,Serviceyrker og annet arbeid,Herunder ligger markedsføring økonomisk styring sponsorarbeid og booking av artister i samarbeid med styret og de ulike festivalkomiteeene,1,,
4325768,2013-01-03,Serviceyrker og annet arbeid,Ledererfaring og erfaring fra organisering av kulturarrangementer er ønskelig,3,,
4325768,2013-01-03,Serviceyrker og annet arbeid,Er du nysgjerrig på å høre mer om disse spennende stillingene eller ønsker å sende en søknad,0,,
6496279,2013-09-13,Undervisning,vikariat fra,0,,
6496279,2013-09-13,Undervisning,no eller www,0,,
6388106,2013-08-29,Barne- og ungdomsarbeid,Den som blir ansatt i vikariatet må vise politiattest,3,,
5204196,2013-03-19,Ingeniør- og ikt-fag,Les mer om Aibel og se våre ledige stillinger på www,0,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Vi søker en erfaren LCI koordinator til utfordrende og ansvarsfulle oppgaver hos en av våre kunder,0,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Koordinering innen og mellom alle områder i prosjektorganisasjonen inklusiv utstyrsleverandører med hensyn på LCI aktiviteter,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Koordinering av LCI mot Kunde,0,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Verifikasjon av LCI leveransene fra leverandør kontraktør,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Verifikasjon av LCI mot endelig overlevering Kunde,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Delta i håndtering av LCI avvik og feil,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Påse at arbeidsprosessen utføres ihht bedriftens og kundens styrende dokumentasjon,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Utarbeide følge opp og vedlikeholde plan for LCI leveranser,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Verifisere at krav til LCI blir fulgt internt i prosjektet hos pakkeansvarlige og disiplinansvarlige,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Verifisere at krav til LCI blir ivaretatt ved utstedelse av PO fra prosjektet til Leverandør kontraktør,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Verifisere og følge opp at Leverandør leverer iht,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,PO og spesifikasjon når det gjelder LCI leveransen,0,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Delta i behandlingen av LCI relaterte avklaringer og i avviksbehandlings møter,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Rapportering av LCI fremdrift iht,1,,
5801667,2013-06-07,Ingeniør- og ikt-fag,LCI plan og prosjektplan,0,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Informasjon og opplæringsvirksomhet innenfor LCI relaterte tema i prosjektet og til leverandører,0,,
5801667,2013-06-07,Ingeniør- og ikt-fag,års erfaring innenfor LCI koordinering EPCIC MMO Olje og Gass,0,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Ingeniør sivilingeniør eller tilsvarende med solid erfaring fra olje,3,,
5801667,2013-06-07,Ingeniør- og ikt-fag,og gassindustrien,0,,
5801667,2013-06-07,Ingeniør- og ikt-fag,God multidisiplin forståelse,2,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Må kunne norsk og engelsk muntlig og skriftlig,3,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Kunnskap om SmartPlant,0,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Kompetanse innen STID ARIS TR WR PIMS R ProCoSys,3,,
5801667,2013-06-07,Ingeniør- og ikt-fag,Send CV og søknad til Ring tlf,0,,
5801667,2013-06-07,Ingeniør- og ikt-fag,for mer informasjon,0,,
5218753,2013-03-20,Industriarbeid,Hovedoppgavene er ledelse av et arbeidslag på,1,,
5218753,2013-03-20,Industriarbeid,mann som skal montere betongelementer og stålkonstruksjoner på våre anlegg,1,,
5218753,2013-03-20,Industriarbeid,Som montasjeleder må du kunne planlegge montasje,1,,
5218753,2013-03-20,Industriarbeid,aktiviteter foreta elementbestillinger lede og motivere dine kollegaer til innsats samt kvalitetssikre og dokumentere utført arbeid,1,,
5218753,2013-03-20,Industriarbeid,AS på byggeplassen og rapporterer fremdrift og ressursbehov til vår prosjektleder,1,,
5218753,2013-03-20,Industriarbeid,Hvem er du,0,,
5218753,2013-03-20,Industriarbeid,Du har praktisk erfaring god planleggingsevne og er bevisst på å utvikle et godt samarbeid på prosjektet,2,,
5218753,2013-03-20,Industriarbeid,Du erkjenner at ledelse innebærer å nå mål gjennom andre og at risikovurdering er alt annet overordnet,2,,
5218753,2013-03-20,Industriarbeid,Du kjennetegnes ved ærlighet lojalitet og entusiasme,2,,
5218753,2013-03-20,Industriarbeid,og ved å ha et sterkt fokus på HMS og kvalitet,2,,
5218753,2013-03-20,Industriarbeid,For å kunne fylle en stilling som montasjeleder må du ha solid innsikt i faglige problemstillinger,2,,
5218753,2013-03-20,Industriarbeid,Du har erfaring fra elementbransjen og gjerne teknisk utdannelse,3,,
5218753,2013-03-20,Industriarbeid,Vi tilbyr gode betingelser utfordrende arbeidsoppgaver dyktige medarbeidere og et godt arbeidsmiljø,0,,
5218753,2013-03-20,Industriarbeid,Vi er også interesserte i å knytte til oss komplette montasjelag,0,,
5218753,2013-03-20,Industriarbeid,for mer informasjon,0,,
5218753,2013-03-20,Industriarbeid,Skriftlig søknad med CV sendes,0,,
