Stilling id;Registrert dato;Yrke grovgruppe;Stillingsbeskrivelse vasket
445827;2002-06-13;Akademiske yrker;"Helsedepartementet 
Seniorrådgiver til Budsjett- og økonomiavdelingen. Arbeidsområdet vil være knyttet opp mot utvikling av systemer for å styrke departementets funksjon som sekretariat for politisk ledelse, herunder utvikle de sentrale budsjettdokumentene og styrke interne rapporteringsrutiner for oppfølging av politiske mål og utspill. 
Det kreves relevant høyere utdanning, inngående kjennskap til departementets virksomhetsområde og kompetanse om organisasjonsutvikling, planleggingsverktøy og styrings- og rapporteringssystemer. Søker må ha relevant arbeidserfaring - helst både fra departement og underliggende virksomhet. Det kreves meget god skriftlig og muntlig fremstillingsevne samt erfaring fra fremlegging av faglige problemstillinger i større forsamlinger. I tillegg til erfaring fra informasjonsvirksomhet er det ønskelig med god pedagogisk innsikt/formidlingsevne. Samarbeidsevner og høy arbeidskapasitet under tidspress er nødvendige egenskaper.
Nærmere opplysninger ved ekspedisjonssjef  i tlf. , eller ekspedisjonssjef  i tlf. .
Send søknad med CV."
411424;2002-04-05;Barne- og ungdomsarbeid;Send søknad.
470447;2002-08-16;Reiseliv og transport;.
435938;2002-05-24;Industriarbeid;"For klient i Kongsberg søkes finmekanisk/kompositt kompetanse, gjerne med erfaring fra flytekniske utførende arbeider.
"
359884;2002-01-03;Ingeniør- og ikt-fag;"Vi trenger derfor flere dyktige medarbeidere til mange utfordrende og interessante oppgaver i en fremtidsrettet næring. Dersom du ser de samme mulighetene som oss, ta kontakt.
Vi søker feltingeniører ¿ onshore & offshore for daglig oppfølging av arbeidsoppdrag, kommunikasjon med on- og offshore konstruksjonsteam.
Søker må ha ingeniørutdannelse og min. 3 års erfaring fra oljerelatert virksomhet innen mekaniske eller elektrofag. Erfaring fra tilsvarende oppgaver og erfaring i bruk av dataverktøy.
Grunnet behov for større fleksibilitet og tilgjengelighet vil søkere som bor i eller er villige til å flytte til Rogalandsområdet bli foretrukket. Det er også ønskelig med en høyere kvinneandel, både i selskapet spesielt og i bransjen generelt. Derfor oppfordres kvinner spesielt til å søke. Lengre erfaring innenfor tilsvarende arbeidsoppgaver, kan kompensere for manglende formell utdannelse. Vi vil også vurdere nyutdannede kandidater for opplæring innenfor enkelte av fagområdene. Arbeidsspråket er norsk, men for de fleste stillingene vil det være påkrevd med god muntlig og skriftlig fremstillingsevne, både på norsk og engelsk.
Vi kan tilby en ekspansiv bedrift med et hektisk, men godt arbeidsmiljø, spennende og varierte arbeidsoppgaver og gode forsikringsordninger. 
Send skriftlig søknad med kopi av vitnemål.
"
489610;2002-09-23;Ingeniør- og ikt-fag;"Produksjonsanlegget består av to presser av typen Wifag OF 370 GDT som representeter den siste utvikling innen presseteknologi, papirhåndtering med laserstyrte robottrucker, elektronisk sideoverføring. Computer to plate produksjon av trykkplater og pakkeriutstyr for fullautomatisk produkthåndtering.
Arbeidsområdet vil være knyttet til drift og vedlikehold av produksjonsutstyret, byggautomatisering samt nettverksteknologi.
Vi ønsker søkere med erfaring fra automatiserte industrianlegg og PLS baserte styresystemer. I tillegg legges vekt på kunnskap innen PC teknologi og kommunikasjon.
Søkere med fagbrev som automatiker/service-elektroniker og med relevant erfaring innenfor det aktuelle arbeidsområdet, vil også bli vurdert.
Stillingen inngår i en turnus som inneholder noe hjemmevakt/skiftarbeid. 
Vi tilbyr utfordrende oppgaver i et hektisk og spennende miljø. Da vårt produksjonsutstyr kommer fra leverandører i Sveits, Tyskland og England, er det en forutsetning at søkerne behersker engelsk.
Send søknad."
519467;2002-12-02;Meglere og konsulenter;"Du får ansvaret for å skaffe bedriften nye kunder. Jobben består i å selge inn løsninger og ramme-avtaler som skal bidra til å bedre bedrifters og offentlige virksomheters økonomi. I første omgang vil du arbeide med potensielle kunder i Oslo-området. Etter hvert kan det bli aktuelt å bistå våre kontorer rundt om i landet. Hovedoppgavene vil være markedskartlegging, prospecting, møtebooking, kundemøter, forhandlinger og kontraktsclosing.
Du har erfaring fra nysalg. Bransjeerfaring er ikke nødvendig, men har du innsikt i eller har arbeidet innenfor bank, finans, økonomitjenester eller kapitalvarer, vil det være et godt utgangspunkt. Du har et
bredt kontaktnett i næringsliv og offentlig forvaltning, kan vise til gode resultater - og er topp motivert for
ny innsats og nye muligheter.
Vi kan tilby en selvstendig og spennende stilling i en virksomhet i sterk vekst. Stillingen gir muligheter for å markere seg gjennom egen resultatskaping i nært samarbeid med profesjonelle kolleger. Miljøet er
uformelt, kundene er krevende og tjenestene er konkurransedyktige.
Eventuelle spørsmål kan rettes til  v/, tlf.  eller , tlf. . 
Send oss i første omgang en kortfattet søknad med CV. Attester og
vitnemål vil vi eventuelt be om senere.
Alle henvendelser blir behandlet konfidensielt, om ønskelig også overfor oppdragsgiver.
Søknad merket ""62.968"" sendes snarest til , fortrinnsvis pr. e-post:  eller til Postboks 200, Skøyen, 0213 Skøyen, 0213 Oslo.
"
398814;2002-03-11;Industriarbeid;.
427605;2002-05-06;Ledere;"Timetallet ved skolen er ca. 75 uketimer og fordelingen mellom administrasjon og undervisning er ca. 60/40. Den tilsatte må kunne dekke undervisning i forhold til enkeltinstrument (kanskje særlig messing) og eller andre kunstfag.
Stillingen har en utøvende del. 
Arbeidsvilkår i samsvar med de til enhver tid gjeldende lover, reglement og avtaleverk. 
Send søknad med rettkjente vitnemål og attester.
"
369182;2002-01-21;Undervisning;"En annerledes barnehage? Avd. Grønneberg ligger fint til rett bak slottet. Vi vektlegger omsorg, verdier og holdninger i vårt daglige arbeid med barna. Vi går mye på tur for å bli kjent i nærmiljøet og naturområder. Vi tilbyr: Aktivt miljø, godt fellesskap, humor og glede, veiledning, tjenestefri m/lønn, behjelpelig m/bolig. 
Send søknad. Attester og vitnemål fås ved henvendelse til administrasjonen inntil 1 måned etter søknadsfrist.
"
511631;2002-11-12;Undervisning;"Vi har en familiebarnehage med 10 plasser for barn 1-6 år. Vi holder til ca 10 utenfor Sandefjord i retning Kodal.
Vi legger stor vekt på uteaktivitet og bruk av gårdsmiljø.
Vi søker en leken og omgjengelig førskolelærer, som trives godt ute, til deltidsstilling (40-80%)som styrer, med delt ansvar med eier.
Ta gjerne kontakt med Marit på telefon for mer informasjon eller kom på besøk."
373219;2002-01-28;Butikk- og salgsarbeid;"Søker bør være over 20 år. 
Til stillingene som ekstrahjelp/helgevakter bør søkere være over 18 år."
473556;2002-08-22;Barne- og ungdomsarbeid;"Du må være være fylt 18 år, og bør ha erfaring fra arbeid med barn. Send skriftlig søknad.
"
428558;2002-05-07;Serviceyrker og annet arbeid;"Deltidsjobb/sommerjobb. Vi søker etter blid og utadvendte personer.
Ta kontakt."
396289;2002-03-07;Bygg og anlegg;"For å styrke vår flerfaglige avdeling i Lillehammer har vi behov for flere dyktige medarbeidere.
Det er ønskelig at søkere har fagbrev gr. L/elektriker og god kjennskap til kunder/markedet.
For stillingene tilbyr vi utfordrende arbeidsoppgaver i en hektisk bedrift, hvor det legges vekt på gode faglige  og personlige utviklingsmuligheter. Send skriftlig søknad med CV og attestkopier (som ikke returneres)."
380484;2002-02-08;Bygg og anlegg;"Vi er i dag 10 ansatte og ønsker å utvide vår stab ytterligere.
Hovedsakelig utfører vi vårt håndverk i Vestfold.
Du bør være positiv og utadvendt.
Vi kan tilby et aktivt og trivelig miljø.
Ta kontakt eller send skriftlig søknad."
475766;2002-08-27;Jordbruk, skogbruk og fiske;"Vi søker to sjøbante medarbeidere til å arbeide på turnusordning med røkting og høsting av egne og samarbeidspartneres blåskjellanlegg. Basen vil være i Sandviskberget i Osen kommune.
Det er en fordel om søkere har erfaring fra oppdrett/fiskeri. De rette vil få opplæring i faget.
"
418094;2002-04-16;Jordbruk, skogbruk og fiske;"Vi søker etter 1-2 personer event. famile til melking og pass av ca. 30 melkekyr + ungdyr. 
"
685756;2003-12-17;Helse, pleie og omsorg;"Avdeling/seksjon: , avd. S.
Hovedvekt av drift er operasjoner  for ca. mamma, rekonstrukssjonskirurgi/ plastikkirurgi og karopr.  
VI KAN TILBY: Opplæring. Hyggelige medarbeidere. Et positivt, faglig miljø preget av ""stå-på-ånd"" og arbeidsglede. Åpningstid kl. 07 - 18.00. Fri alle helger/høytider. Min. 5 ukers sammenhengende sommerferie. 2 uker innarbeidet avspasering pr. år. Vi utarbeider retningslinjer for klinisk stige.
VI ØNSKER AT DU ER: Faglig dyktig. Fleksibel og har evne til å arbeide i tverrfaglig team. Selvstendig. Servicebevisst. En person med jevnt, godt humør som kan ta utfordringer med et smil og kreativt sinn.
Syns du dette lyder spennende? Ja, da er du velkommen som samarbeidspartner i vår avdeling
Kval.: Videreutdanning i operasjonssykepleie.
For stillinger hvor det er pålagt ved lov med norsk autorisasjon, kreves fremleggelse av autorisasjonsdokument før tiltredelse.
Send skriftlig søknad m/CV vedlagt kopi av vitnemål og attester."
554446;2003-02-25;Helse, pleie og omsorg;"Omsorgsavdelingen i Meløy har behov for vikarer i forbindelse med ferieavviklingen 2003. 
Arbeidssted kan være:
Hjemmestjenesten, Ørneshaugen bofelleskap, Ørnes sykehjem, Vallsjøen sykehjem, Åsveien og Bergveien boliger, Engavågen bofelleskap.
I søknaden må det oppgis ønsket arbeidssted og tidsrom for vikariatet. Fagpersonell og søkere som kan arbeide store deler av ferieperioden vil bli foretrukket.
Kontakt: 
: 
   : 
Send søknad med CV.
"
539309;2003-01-27;Bygg og anlegg;"ABB  har stor suksess med flerfaglige leveranser til våre kunder. I Grimstad søker vi flere nye medarbeidere. 
Ønskede kvalifikasjoner: fagbrev som elektriker gr.l., interesse for svakstrøm/sterkstrøm, relevant arbeidserfaring, samarbeidsevner og selvstendighet, evne og vilje til innsats og egenutvikling. 
Vi tilbyr for stillingene: selvstendige og varierte arbeidsoppgaver, utfordrende og interssante oppgaver i en ledende bedrift, gode muligheter for faglig og personlig utvikling, konkurransedyktige lønns-, pensjons- og forsikringsordninger. 
Ønsker du ytterligere informasjon om stillingen, ta kontakt med avdelingsleder , tlf. /mobil  eller  ved e-mail: 
Send skriftlig søknad med CV til vår adresse. 
"
616470;2003-06-24;Ledere;"Lillås skole er en 1-7 skole som ligger i Horten kommune. Det er ca. 370 elever på skolen fordelt på 15 klasser og ca. 150 barn som benytter seg av skolens SFO-tilbud.
Skolen ligger i naturskjønne omgivelser med kort avstand til skog og sjø, og til Horten sentrum. Skolen var nyoppusset i 2001 og har nytt uteanlegg som blir helt ferdig før skolestart til høsten.
Lærerne er organisert i team, og teamlederne sitter i skolens plangruppe sammen med skolens ledelse. Administrasjonsressursen er på ca. 180% fordelt på rektor og inspektør, samt skolesekretær i 80% stilling.
Skolen skal delta i Olweus-programmet mot mobbing fra høsten 2003. For øvrig er skolen inne i gode prosesser når det gjelder elevmedvirkning og musiske aktiviteter i aldersblandede grupper.
Vi søker etter en rektor som: Er en tydelig leder som er flink til å kommunisere, er visjonær og har vilje og evne til å gjennomføre utvikling og endringer, har et positivt menneskesyn og god sosial kompetanse
kan delegere oppgaver og utnytte medarbeidernes kompetanse for å oppnå resultater, vil ha en åpen og konstruktiv dialog med foreldre og lokalmiljø.
Nærmere opplysninger om stillingen kan fåes av kommunalsjef , tlf.  /  eller kommunalsjef ,  tlf. / .
Arbeidstakere ansettes i kommunen på de vilkår og med de rettigheter og plikter som følger av overenskomster, reglementer og lover. Det ytes også flyttegodtgjørelse etter kommunens retningslinjer.
Send søknad med CV. 
Kopier av attester og vitnemål tas med til et ev. intervju. Vi gjør oppmerksom på at tilsendte papirer ikke returneres.
"
566965;2003-03-17;Butikk- og salgsarbeid;"Plantasjen søker etter sesonghjelp til å betjene salgstopper, ferier etc. Vi søker etter personer som er over 18 år. Vi søker både kassapersonale og personer som kan holde orden i butikken. Arbeidstid etter avtale.
Send søknad med vitnemål og attester."
561811;2003-03-10;Ledere;"Trara b.skole har ca. 366 elever fordelt på 17 klasser på 1. -7.trinn, med ca. 48 årsverk ansatte. Skolen har p.t. 2 spesialavdelinger med alternativ opplæringstilbud. 
Nærmere opplysninger om den enkelte skole finnes på 
http://www.fredrikstad.kommune.no/skole/liste/index.asp 
Vi søker ledere som: Har evne til å utøve lederskap ved en skole i stadig endring. Kan være pådriver i det pedagogiske utviklingsarbeidet. Kan utvikle skolen i h.h.t. skolens, kommunens og nasjonale satsningsområder. Arbeider målrettet og systematisk. Har evne til samarbeid og utvikling av et godt arbeidsmiljø. Kan drive et aktivt helse-, miljø- og sikkerhetsarbeid. Kan inspirere, motivere og veilede. Har gode IKT-kunnskaper. Går aktivt inn i både barne- og voksenmiljøet. 
Søkere må ha pedagogisk utdanning i h.h.t. kompetansekrav gjeldende for trinnet og min. 3 års praksis fra arbeid i skolen eller annen utdannings- administrasjon. Tilleggsutdanning i administrasjon og ledelse vil sammen med administrativ erfaring og personlige egenskaper bli vurdert ved tilsetting. 
Søkere må gjøre oppmerksom på hvilke(n) stilling(er) de søker. 
Arbeidstakere tilsettes i Fredrikstad kommune etter gjeldende lover, reglement og tariffavtaler, herunder pliktig medlemskap i pensjonskasse. Godkjent politiattest må framlegges før tiltredelse. 
Send skriftlig søknad med CV og bekreftede kopier av vitnemål og attester samt oppgitte referanser."
630273;2003-08-11;Meglere og konsulenter;"Arbeidsoppgaver: Ansvar for oppfølging av bygningsmessig vedlikehold og ombygginger. Ansvar for inngående, utgående og intern posthåndtering. Ansvar for renhold. Ansvar for oppfølging/styring av serviceavtaler og underleverandører. Ivareta daglig drift av eiendomsmassen. Miljøet i avdelingen er uformelt, og stillingen innebærer stor grad av selvstendighet. Kvalifikasjoner: Høyskoleutdanning, teknisk bakgrunn er en fordel. Minimum 2 års ledererfaring. Erfaring fra eiendomsutvikling og entreprise.  Egenskaper: Praktisk og nevenyttig, initiativrik. Send skriftlig søknad vedlagt CV som brev eller på e-post. Kopi av innsendte attester og vitnemål vil ikke bli returnert.
 
"
660310;2003-10-10;Undervisning;Vi legger vekt på: Personlige egenskaper, evne og lyst til å motivere og inspirere et ja-mennekse, stor trivsel ute i all slags vær, selvstendighet, kreativitet og evne til refleksjon, evne til å jobbe i team og spille hverandre gode. Vi tilbyr: Mulighet til å forme et nytt barnehagemiljø, store, lyse og flotte lokaler, engasjerte foreldre, en kreativ driftsform, barnehageplass etter avtale, nettverk og samarbeid med andre barnehager. Det er ønskelig med en allsidig bakgrunn, og vi oppfordrer gutter å søke. For pedagogisk lederstilling er det en fordel med ledererfaring. Brånåstoppen vil i tillegg ha ha inn en 100 % assistent i en engasjementstilling. Ta gjerne kontakt med daglig leder  på Brånåstoppen, tlf.  eller Gro H. Fiksdahl på Lillegahen, tlf.  for mer informasjon. Skriftlig søknad med CV sendes snarest til:  Brånåstoppen barnehage, Hattemakerlia 2, 2019 Skedsmokorset eller  Lillehagen barnehage, Isakveien 5, 2004 Lillestrøm.
663737;2003-10-20;Industriarbeid;" (Fermanagh)  
Description:  7.00p/h Experienced coded welders needed with MIG/TIG. Must be able to weld to very high tolerence. Lawlor &  10 , , Dundalk, Co. : 042  : 042  E-Mail:   
SALARY / CONTRACT 
Minimum salary  Not specified  
Maximum salary  Not specified  
Salary currency  POUND STERLING  
Salary tax  Not specified  
  Not specified  
Hours / Week  40  
Contract type  PERMANENT + FULL-TIME  
REQUIREMENTS 
 required    
  Yes  
Experience required  Up to 2 years  
Driving licence required  Not specified  
Language skills Not specified 
EMPLOYER 
Name  Not specified  
Employer's phone  042   
Employer's fax  042   
Employer's contact  Lawlor &   
 10    
E-mail   
. Louth 
 specified 
"
621548;2003-07-07;Kontorarbeid;"Arbeidet består av: Daglig bilagsføring. Inn- og utbetalinger. Purringer / kundereskontrokontroll. Lønninger (Huldt og Lillevik). Reiseoppgjør. Avstemminger. Momsoppgjør. Budsjettarbeid / rapportering til moderselskap.
Kvalifikasjoner: Relevant regnskapsutdannelse / -erfaring, lang erfaring kan kompensere for manglende utdannelse. Dyktig på data. Selvstendig, fleksibel og arbeidssom. Pliktoppfyllende, nøye med oppfølging.
Vi kan tilby gode kollegaer god pensjonsordning.
Søknad med CV sendes. Alle søknader behandles konfidensielt.
"
578550;2003-04-08;Jordbruk, skogbruk og fiske;Vi søker vant fisker til autolinefiske. Sikkerhetskurs og legeattest kreves.
527184;2002-12-23;Reiseliv og transport;"En jobb på skinner?
Oslotrikken trenger flere dyktige trikkeførere
Er du mellom 20 og 50 år, har god helse og godt fargesyn, førerkort A og/eller B og kjøreerfaring, takler stress og kan kommunisere godt på norsk og engelsk. Blir vi enige om at du passer til arbeidet, får du opplæring med lønn over 13 uker.
Etter bestått teoretiske og praktiske prøver kan vi tilby deg: 
En selvstendig jobb i et trivelig arbeidsmiljø. 
Varierte idretts- og fritidsaktiviteter. 
Fri pensjonsordning. 
Mulighet for boliglån i pensjonskassen. 
Frikort som gir gratisreise på trikk, sporveisbuss og T-bane.
Flere opplysninger
Ønsker du nærmere opplysninger kan du ringe rekrutteringskonsulent M.  på tlf.  eller vårt sentralbord på tlf. .
Søknad med CV, vitnemål og attester sendes
AS 
Sporvognsdivisjonen
Postboks 2857 Tøyen
0608 OSLO
Merk konvolutten ""søknad"". 
Søknader mottas og vurderes kontinuerlig. Neste kurs starter 24. februar 2003. Søknadsfristen er 24. januar 2003. 
"
590207;2003-05-07;Reiseliv og transport;Ta kontakt for ytterligere informasjon.
625728;2003-07-23;Akademiske yrker;"Stilling som førstekonsulent er ledig ved Det historisk- filosofiske fakultetets eksamenskontor. (Det kan bli aktuelt å tilsette i to stillinger.)  
Stilling som førstekonsulent ved HFs eksamenskontor er ledig fra høsten 2003. Fakultetet arrangerer eksamen innen 16 bachelorprogrammer og 14 masterprogrammer i tillegg til examen philosophicum og examen facultatum. For nærmere informasjon om fakultetet viser vi til: http://www.hf.uio.no/ 
Vedkommende som tilsettes får selvstendig ansvar for tilrettelegging og avvikling av eksamen for et antall studieprogrammer i henhold til arbeidsfordelingen ved eksamenskontoret. Arbeidsområdet omfatter i tillegg generell saksbehandling knyttet til eksamen, tilrettelagt eksamen, utsatt prøve, gradsvurdering, skriving av vitnemål og karakterutskrifter. I eksamensperiodene høst og vår må en regne med noe overtid, som senere kan avspaseres.
Det kreves høyere utdanning eller tilsvarende realkompetanse.
Det kreves videre gode kommunikasjonsevner på norsk og engelsk og gode IT-kunnskaper.
Tidligere administrativ erfaring vektlegges. Det er videre en klar fordel med erfaring fra tilsvarende arbeid innenfor universitets- og høgskolesektoren. 
Det legges vekt på personlige egenskaper som gode samarbeidsevner, evne til å arbeide resultatorientert og mestre stress. Godt humør vil selvfølgelig være en plussfaktor.
Søknad og CV sendes til  Som vedlegg til søknaden må søkeren også sende inn utvidet søkerskjema som bl.a. finnes på http://www.hf.uio.no/ledige-stillinger. Vitnemål og attester vil eventuelt etterspørres senere. E-posten merkes med referansenummer."
601326;2003-05-27;Industriarbeid;Vi søker erfaren bilmekaniker til vårt koselige lille bilverksted.
540562;2003-01-29;Butikk- og salgsarbeid;"Home-party forhandlere søkes: Meget lettsolgt kolleksjon. Lekre interiørprodukter hovedsaklig for borddekking. Høy kvalitet og lave priser. 
Jobb selvstendig, når du selv ønsker. Sans & Stil representerer noe nytt og spennende. 
For uforpliktende info, ring oss på tlf. / eller send oss gjerne en e-mail: "
541787;2003-01-31;Undervisning;"Foreldrene ønsker å gi barna sine omsorg, trivsel og utvikling i trygge omgivelser. Vi søker derfor etter kvalifisert, utadvendt og entusiastisk personale med godt humør. 
Vi legger vekt på: Godkjent utdanning. Erfaring og personlige egenskaper. Evne til å inspirere og motivere. Positiv holdning til endrings- og utviklingsarbeid. Gode samarbeidsevner. Selvstendighet og kreativitet. Ansvar for egen helse og personlig og faglig utvikling. 
Vi tilbyr: Muligheten til å forme et barnehagemiljø fra oppstart. Store lyse lokaler. Engasjerte foreldre. Barnehageplass etter avtale. Planleggingstid, kurs m.m. Pensjonsordning. Nettverk med tilsvarende barnehager. 
Politiattest må fremlegges ved tiltredelse. 
Send skriftlig søknad vedlagt vitnemål og attester snarest.
"
