Stilling id;Registrert dato;Yrke grovgruppe;Stillingsbeskrivelse vasket
6366388;2013-08-26;Barne- og ungdomsarbeid;Barne. og ungdomsarbeider. fagarbeider. 45. vikariat fra 01. 09. 13. 31. 07. 14. Se utfyllende annonsetekst og søk via elektronisk skjema som finnes på: www. malvik. kommune. no. Malvik kommune ønsker en balansert alders. og. kjønnssammensetning. Attester og vitnemål tas med ved innkalling til intervju dersom ikke annet framgår av annonsen. www. malvik. kommune. no
5152388;2013-03-15;Undervisning;I kommunen vil følgende stillinger for pedagogisk personell bli ledige fra 01. 08. 2013.  Alvdal ungdomsskole. ungdomsskole kan det bli ledige stillinger fra høsten 2013. Skolen er organisert i tre team med ansvar for hvert sitt alderstrinn, og det er ønskelig at lærerne på teamet dekker de fleste fag på ungdomstrinnet. Det er derfor ønskelig med lærere med undervisningskompetanse i flere fag. I tillegg til språkfagene (norsk, engelsk og tysk spansk), ønsker vi søkere med kompetanse i kunst og håndverk. Kontakt.  , tlf. , eller e. post.  	. For alle stillingene legges det vekt på.  Godkjent faglig og pedagogisk kompetanse. gode samarbeidsevner. et inkluderende lærings. og elevsyn. erfaring fra lignende arbeid. Intervju vil bli gjennomført. Politiattest ikke eldre enn 3 mnd må framlegges før tiltredelse. Vi ber om at søkerne prioriterer tjenestested ved søknad på flere steder. Søkere vil også bli vurdert til andre stillinger, både faste og vikariater som måtte bli ledige under tilsettingsprosessen. Tilsettinger skjer på de vilkår som går fram av lover, reglement og tariffavtaler, herunder risikodekning i pensjonsordning hvor arbeidstaker og arbeidsgiver betaler innskudd. Alvdal kommune har 6 måneders prøvetid på sine stillinger. CV vil bli brukt i utvidet søkerliste. I henhold til Offentleglova § 25 2. ledd kan søkerlister offentliggjøres. Søknad med rettkjente kopier av vitnemål og attester sendes Alvdal kommune, Servicekontoret, 2560 Alvdal, innen 10. april 2013. 
4971587;2013-02-27;Akademiske yrker;Medarbeider i tillitsvalgtopplæringen. Utdanningsforbundet. Utdanningsforbundets tillitsvalgtopplæring har ansvaret for at Utdanningsforbundets mer enn 10 000 tillitsvalgte på alle nivåer i organisasjonen er godt skolert i arbeidet for å ivareta medlemmenes lønns. , arbeids. og profesjonsvilkår. I det sentrale sekretariatet er ansvaret lagt til avdeling for organisasjonsutvikling og medlemstjenester. seksjon for opplæring, kurs og konferanser. Vi søker etter en profesjonell, selvstendig og utadvent person med gode kunnskaper om organisasjonsarbeid, som kan styrke Utdanningsforbundet som kursarrangør innenfor den sentrale kursvirksomheten og tillitsvalgtopplæringen. Arbeidssted.  Hausmanns gate 17. 0182 Oslo. Oslo. Diverse. Reiseaktivitet: Noe reisevirksomhet må påregnes. Heltid. Fast. Antall stillinger: 1. Kontaktperson(er).  , tlf. (. 47). For fullstendig utlysningstekst og elektronisk søknadsskjema.  Søknadsfrist: 14. 03. 2013. 
4325768;2013-01-03;Serviceyrker og annet arbeid;. RAUMAROCK. Vi trenger flinke folk og søker etter.  FESTIVALSJEF DAGLIG LEDER. Da vår daglige leder skal ut i permisjon er vi på jakt etter en erstatter i 50. stilling fra ca 1. april. Varighet ca ett år, med mulighet for forlengelse. Som rockefestivalens daglige leder vil du få overordnet ansvar for utvikling, organisering og gjennomføring av festivalen. Herunder ligger markedsføring, økonomisk styring, sponsorarbeid og booking av artister i samarbeid med styret og de ulike festivalkomiteeene. Ledererfaring og erfaring fra organisering av kulturarrangementer er ønskelig. . Er du nysgjerrig på å høre mer om disse spennende stillingene eller ønsker å sende en søknad. , mobil.  E. post.  
6496279;2013-09-13;Undervisning;100. , vikariat fra 07. 10. 13. www. stokke. kommune. no eller www. jobbdirekte. no. Søknadsfrist 30. 09. 13. 
6388106;2013-08-29;Barne- og ungdomsarbeid;. Den som blir ansatt i vikariatet må vise politiattest. 
5204196;2013-03-19;Ingeniør- og ikt-fag;Les mer om Aibel og se våre ledige stillinger på www. aibel. com
5801667;2013-06-07;Ingeniør- og ikt-fag;Vi søker en erfaren LCI koordinator til utfordrende og ansvarsfulle oppgaver hos en av våre kunder. Beskrivelse. Koordinering innen og mellom alle områder i prosjektorganisasjonen inklusiv utstyrsleverandører med hensyn på LCI aktiviteter. Koordinering av LCI mot Kunde . Verifikasjon av LCI leveransene fra leverandør kontraktør . Verifikasjon av LCI mot endelig overlevering Kunde . Delta i håndtering av LCI avvik og feil . Påse at arbeidsprosessen utføres ihht bedriftens og kundens styrende dokumentasjon . Utarbeide, følge opp og vedlikeholde plan for LCI leveranser . Verifisere at krav til LCI blir fulgt internt i prosjektet hos pakkeansvarlige og disiplinansvarlige . Verifisere at krav til LCI blir ivaretatt ved utstedelse av PO fra prosjektet til Leverandør kontraktør. Verifisere og følge opp at Leverandør leverer iht. PO og spesifikasjon når det gjelder LCI leveransen . Delta i behandlingen av LCI relaterte avklaringer og i avviksbehandlings møter. Rapportering av LCI fremdrift iht. LCI plan og prosjektplan. Informasjon og opplæringsvirksomhet innenfor LCI relaterte tema i prosjektet og til leverandører. Kvalifikasjoner. 5 års erfaring innenfor LCI koordinering (EPCIC MMO) Olje og Gass . Ingeniør sivilingeniør eller tilsvarende med solid erfaring fra olje. og gassindustrien . God multidisiplin forståelse . Må kunne norsk og engelsk, muntlig og skriftlig . Kunnskap om SmartPlant . Kompetanse innen STID, ARIS, TR, WR, PIMS R 3, ProCoSys. Vi tlbyr. Interessert. Send CV og søknad til Ring tlf. for mer informasjon. www. bragdengineering. no. 
5218753;2013-03-20;Industriarbeid;. søker montasjeleder. Hovedoppgavene er ledelse av et arbeidslag på 4. 6 mann som skal montere betongelementer og stålkonstruksjoner på våre anlegg. Som montasjeleder må du kunne planlegge montasje. aktiviteter, foreta elementbestillinger, lede og motivere dine kollegaer til innsats samt kvalitetssikre og dokumentere utført arbeid. Montasjeleder representerer. AS på byggeplassen og rapporterer fremdrift og ressursbehov til vår prosjektleder. Hvem er du. Du har praktisk erfaring, god planleggingsevne og er bevisst på å utvikle et godt samarbeid på prosjektet. Du erkjenner at ledelse innebærer «å nå mål gjennom andre», og at risikovurdering er alt annet overordnet. Du kjennetegnes ved ærlighet, lojalitet og entusiasme. og ved å ha et sterkt fokus på HMS og kvalitet. For å kunne fylle en stilling som montasjeleder må du ha solid innsikt i faglige problemstillinger. Du har erfaring fra elementbransjen og gjerne teknisk utdannelse. Vi tilbyr gode betingelser, utfordrende arbeidsoppgaver, dyktige medarbeidere og et godt arbeidsmiljø. Vi er også interesserte i å knytte til oss komplette montasjelag. Kontakt prosjektsjef. på telefon. 47. for mer informasjon. Skriftlig søknad med CV sendes. AS, att. , Pb 13, 1662 Rolvsøy eller på mail til. 
4142977;2012-12-18;Reiseliv og transport;". Hva forventer vi av en SJÅFØR i. blir lagt merke til i trafikken. du kjører faktisk rundt med den største logoen vi har. At du både overholder trafikkreglene og viser varsomhet er en selvfølge. Vi er svært avhengig av å gi et positivt inntrykk ovenfor våre kunder og vårt nærmiljø. Kundebehandling og det at du husker at du alltid ""har med deg alt"" som er bestilt er også viktig. For våre leveringskunder er du faktisk den eneste de møter ansikt til ansikt, og det gjør deg til en viktig Peppes. representant. Som sjåfør i. vil du gjennom din stilling disponere og ha ansvaret for svært kostbart materiell. Dette må du alltid ta hensyn til ved å behandle firmaets biler med størst mulig forsiktighet. Som sjåfør må du ha hatt ""lappen"" i minst 2 år og faktisk ha forståelse for at du er Peppes' ansikt utad i trafikken. Vi verdsetter utadvendte, fleksible og ansvarsbevisste medarbeidere. Sted: Løren. Tiltredelse: snarest. Kontakter.  For elektronisk søknadsskjema.  "
5417729;2013-04-15;Bygg og anlegg;. http: www. recruitment. manager. no hrm cv job. php. job. id. 579ogpath. finn. 
5128952;2013-03-13;Industriarbeid;StS gruppen er i kontinuerlig vekst, og søker nå. Teknisk sjef. Trainee ISO. ingeniør. Prosjektleder. Formenn ISO. fag. Ingeniør isolering. Fagarbeidere ISO. fag. Ingeniør overflate. Verneleder HMS. Planlegger innen ISO. fag. Vårt datterselskap StS engineering søker.  NDT inspektør. Sveiseinspektør. StS gruppen tilbyr konkurransedyktige betingelser og gode utviklingsmuligheter i et trivelig arbeidsmiljø. For mer informasjon om stillingene besøk bedriftens hjemmeside. Søknaden sendes via bedriftens hjemmeside. www. stsgruppen. com karriere eller til.  StS gruppen AS, Pb 6085 Postterminalen, N. 5892 Bergen. Tel.  00. Fax.  01
5802486;2013-06-07;Meglere og konsulenter;Som fagansvarleg vil ein ha det faglege ansvaret for arbeidsprosessane, utarbeiding av rutinar og prosedyre, samt avstemming og kontroll innafor sitt fagområde. Vi ynskjer at du har.  Høgare økonomisk utdanning, relevant arbeidserfaring kan kompensere for manglande formell utdanning. Minimum 3. 5 års relevant arbeidserfaring. Også nyutdanna med gode resultat frå utdanning vært oppmoda om å søkje. God rekneskapsforståing og evne til nytenking. Gode kunnskapar om Excel. Kunnskap om Agresso vil være ein fordel. Stor arbeidskapasitet. Har du spørsmål knytt til stillingane kan du ta kontakt med økonomileiar. ,. eller kommersiell leiar. ,. Send kortfatta søknad med CV snarast til. 
4642960;2013-01-30;Ledere;Statsbygg er en kunnskapsbasert organisasjon som har en sentral rolle i et virksomhetsområde med stor samfunnsmessig betydning og oppmerksomhet. Vi søker nå en Administrerende direktør til å lede og utvikle virksomheten videre. Stillingen krever et sterkt samfunnsmessig engasjement, solid rolleforståelse, og evne til å skape engasjement og effektivt samarbeid både internt og eksternt. Vi forutsetter solid ledererfaring fra større kunnskapsbaserte virksomheter, gjerne innen. byggrelaterte fagområder eller andre virksomheter med store og komplekse prosjekter. Videre forutsettes gode kommunikasjonsegenskaper på norsk og engelsk,samt evne til å representere Statsbygg utad i komplekse saker på en tydelig og. tillitvekkendemåte. Stillingen er et åremål for seks årmedmulighet for forlengelse for ytterligere seks år. Alle henvendelser behandles konfidensielt inntil søknadsfristens utløp. Deretter vil det bli satt opp offentlig og utvidet søkerliste. Der som en søker ønsker å reservere seg fra en offentlig søkerliste,må dette begrunnes. Søkeren vil bli varslet dersom ønsket omreservasjon ikke blir tatt til følge. Eventuelle spørsmål omstillingen kan rettes til Visindi AS ved. , tlf. ,. , tlf. eller avdelingsdirektør i Fornyings. , administrasjons. og kirkedepartementet,. , tlf. Søknadmed CV sendes snarest og senest innen 18. februar via. Stillinger. på www. visindi. no. 
5837587;2013-06-12;Meglere og konsulenter;. skal styrke sin økonomiavdeling og søker en controller. Vi søker deg som har gode analytiske egenskaper og som ønsker å bidra aktivt i utviklingsprosesser i mediehuset. Du har gjerne controllererfaring fra tidligere og er en initativrik og serviceinnstilt person med gode samarbeids. og kommunikasjonsegenskaper. Du vil ha utstrakt dialog med ulike avdelinger i mediehuset og vil også ha løpende dialog med vårt tjenestesenter innen regnskap. Utvalgte arbeidsoppgaver .  Månedsavslutningmed kvalitetssikring av tall og rapportering. Lønnsomhetsanalyser og avviksanalyser. Utarbeidelse av budsjett og prognoser. Internkontroll. Prosjekt og analysearbeid. Kvalifikasjoner egenskaper.  Høyere økonomisk utdannelse. God forretningsforståelse. Initiativrik og gode samarbeidsegenskaper. Analytiske evner. Målrettet, systematisk og nøyaktig. Fortrolig med bruk av økonomisystemer og gode kunnskaper i bruk av excel. Vi tilbyr spennende utfordringer i et av landets største medieselskaper. Spørsmål angående stillingen rettes til økonomisjef. på telefon. eller personalsjef. på telefon. Søk stillingen elektronisk på bt. no stilling
6238589;2013-08-08;Ledere;Vi søker deg som. har ideer om hvordan man jobber og kommuniserer i en stor, frivillig medlemsorganisasjon sammen med de tillitsvalgte. er interessert i å lykkes med å aktivere, beholde og rekruttere medlemmer. er samfunnsengasjert og liker å jobbe med interessepolitiske saker. liker både å jobbe i team og samtidig er drivende og selvgående. Arbeidsoppgaver .  Drifte fylkeslagets daglige virksomhet. I nært samarbeide med fylkets NRF medvirke til å .  Drive interessepolitisk arbeid lokalt, i fylket og regionalt. Opprettholde attraktiv lokallagsvirksomhet, og synliggjøring av disse. Beholde, rekruttere og aktivisere medlemmer. Implementere ulike verktøy ute i lokallag og fylkeslag. Drive opplæring av medlemmer og tillitsvalgte. Følge opp og inntektsbringende tiltak, kampanjer og aksjoner. Vi vektlegger .  Høyere utdanning, relevant erfaring kan kompensere for utdanning. Gode datakunnskaper innen. , erfaring fra praktisk pc. arbeide medlemsportaler og noe nettpublikasjon. God muntlig og skriftlig fremstillingsevne. Orden, struktur og ryddig jobbadferd. Økonomisk sans, erfaring med søknader om tilskudd. Erfaring fra serviceyrke, salg, opplæring eller organisajonsarbeide. Godt humør og gode samarbeidsevner, fleksibilitet mht arbeidstid og arbeidsform. Vi tilbyr .  En jobb der du har mulighet til å endre samfunnet og gjøre en forskjell. Spennende og utfordrende oppgaver i en fremtidsrettet og aktiv organisasjon med lange tradisjoner innen frivillighet. Lønn etter avtale tariff. Send oss en kortfattet søknad med CV innen 25. aug til. Har du spørsmål. ring gjerne til generalsekretær. , mobil. , eller ta kontakt med. mobil. . 
5388272;2013-04-11;Jordbruk, skogbruk og fiske;Til bedriftens settefisklokalitet i Lensvik søkes driftsoperatør. Viktige ansvarsområder for stillingen vil i hovedsak være.  Røkting og stell av rogn og fisk. Deltakelse i vaksinering og sortering. Drift og vedlikehold av anlegg (resirkulering). Deltakelse i vaktordning. Arbeide for at. til enhver tid skal drive optimalt. For stillingen søkes det etter søkere med følgende kvalifikasjoner.  Fagbrev eller annen relevant utdanning. Erfaring fra settefisk. Fleksibel. Selvstendig, strukturert og resultatorientert. Gode kommunikasjons. og samarbeidsevner. Initiativrik. Godt humør og stå. på. vilje. Kunne beherske norsk som arbeidsspråk. Vi tilbyr.  Konkurransedyktige betingelser. Et sterkt faglig miljø lokalt, i Norge og internasjonalt. En spennende jobb i et selskap i vekst. Gode muligheter for personlig og faglig utvikling. Arbeidssted: Lensvik. Nærmere opplysninger om stillingene kan gis av produksjonssjef. , mobil. eller driftsleder. , mobil. KORTFATTET SØKNAD MED CV SENDES INNEN 26. APRIL 2013 TIL.  AS, 7247 Hestvika eller. pr. e. post til. 
5903786;2013-06-21;Ingen yrkesbakgrunn eller uoppgitt;Søknad på stilling BAUHAUS Liertoppen. Generell søknad. I tillegg til å søke på utlyste stillingsannonser ser vi gjerne at du viser din interesse ved å sende oss en generell jobbsøknad. En jobb i BAUHAUS vil være utfordrende, krevende og variert, da kjeden er i konstant utvikling. Vi ser frem til å motta din søknad. For elektronisk søknadsskjema.  
5485571;2013-04-24;Ingen yrkesbakgrunn eller uoppgitt;HYTTEVAKT SØKES TIL TURISTHYTTA VED LYNGØR FYR SOMMERSESONGEN 2013. Interessert. på tlf. 
4957029;2013-02-26;Jordbruk, skogbruk og fiske;. Vi søker personer som er fylt 18 år og som har sertifikat Kl. B. BE. Alle søkere over 18 år med eller uten disse kvalifikasjonene, blir vurdert. Jobben vil hovedsaklig være plenklipping, stell og vedlikehold av kirkegårdene i Rana. Det legges vekt på at de som tilsettes har evnen til å jobbe selvstendig. Ved behov for flere opplysninger fås disse ved henvendelse til. kirkevergens kontor tlf. 751 23300 eller Avd. leder kirkegårder, tlf. Opplysninger om stillingene finnes på. www. rana. kirken. no. Søknad, samt opplysning om «ditt» arbeidstidsrom, sendes.  eller. Rana kirkelige fellesråd. Sørlandsveien 62. 8624 Mo i Rana. Den norske kirke
